INSTRUMENT_ID;INSTRUMENT_TYPE;TRADE_CODE
4847;Облигация корпоративная;RU000A0JTMG7
4848;Облигация корпоративная;RU000A0JTMK9
8843;Облигация корпоративная;RU000A0JVD25
9335;Облигация биржевая;RU000A0JWCB3
10346;Облигация биржевая;RU000A0JXTQ3
1477;Акция обыкновенная;FEES
11424;Облигация биржевая;RU000A0ZZQN7
4279;Облигация биржевая;RU000A0JX090
4280;Облигация биржевая;RU000A0ZYDH0
4161;Акция обыкновенная;PHOR
4531;Облигация биржевая;RU000A0ZYPG6
4532;Облигация биржевая;RU000A0JWTH4
293;Акция обыкновенная;ENRU
291;Акция обыкновенная;UPRO
8824;Облигация биржевая;RU000A0JVC59
8825;Облигация биржевая;RU000A0JVC67
7064;Облигация биржевая;
9850;Облигация биржевая;RU000A0JXLR8
5803;Облигация биржевая;RU000A0JV573
5804;Облигация биржевая;
5805;Облигация биржевая;
9654;Акция обыкновенная;RNFT
278;Акция обыкновенная;MSNG
1714;Облигация биржевая;
1716;Облигация биржевая;
7046;Депозитарные расписки иностранного эмитента на акции;AGRO
5926;Облигация субфедеральная;RU000A0JUNK5
5007;Облигация субфедеральная;RU000A0JTVZ8
11425;Облигация субфедеральная;RU000A0ZZR33
5723;Акции иностранного биржевого инвестиционного фонда;FXCN
4844;Акции иностранного биржевого инвестиционного фонда;FXRB
5485;Акции иностранного биржевого инвестиционного фонда;FXDE
5496;Акции иностранного биржевого инвестиционного фонда;FXJP
5498;Акции иностранного биржевого инвестиционного фонда;FXUK
5500;Акции иностранного биржевого инвестиционного фонда;FXIT
5566;Акции иностранного биржевого инвестиционного фонда;FXRU
11393;Акции иностранного биржевого инвестиционного фонда;FXKZ
5430;Акции иностранного биржевого инвестиционного фонда;FXGD
9540;Облигация субфедеральная;RU000A0JWT75
10433;Облигация субфедеральная;RU000A0JXVH8
10698;Облигация субфедеральная;RU000A0ZYJ18
10625;Депозитарные расписки иностранного эмитента на акции;ENPL
8787;Акции иностранного эмитента;RUAL
4222;Облигация корпоративная;RU000A0JS6S7
4223;Облигация корпоративная;RU000A0JS6T5
9058;Облигация корпоративная;RU000A0JVVA7
9199;Облигация корпоративная;RU000A0JW1G7
5308;Облигация муниципальная;RU000A0JU1T2
9026;Облигация муниципальная;RU000A0JVUD3
9388;Облигация муниципальная;RU000A0JWHW8
10688;Облигация муниципальная;RU000A0ZYH93
9547;Облигация биржевая;RU000A0JWTV5
9702;Облигация биржевая;RU000A0JX199
9807;Облигация биржевая;RU000A0JXE06
5808;Облигация биржевая;RU000A0JVA10
9918;Облигация биржевая;RU000A0JXPG2
8966;Облигация биржевая;RU000A0JVWD9
10494;Облигация биржевая;RU000A0JY023
8967;Облигация биржевая;RU000A0JVWJ6
10535;Облигация биржевая;RU000A0ZYAP9
8968;Облигация биржевая;RU000A0JW1P8
10752;Облигация биржевая;RU000A0ZYNY4
9483;Облигация биржевая;RU000A0JWST1
10825;Облигация биржевая;RU000A0ZYR91
10932;Облигация биржевая;RU000A0ZZ1J8
11073;Облигация биржевая;RU000A0ZZ984
11134;Облигация биржевая;RU000A0ZZAL5
11476;Облигация биржевая;RU000A0ZZV11
289;Акция обыкновенная;NVTK
9072;Облигация корпоративная;RU000A0JWB59
5155;Облигация биржевая;RU000A0JU0B2
4488;Облигация корпоративная;RU000A0JT6J5
9271;Облигация корпоративная;RU000A0JW5K0
11432;Облигация биржевая;RU000A0ZZQU2
11474;Облигация биржевая;RU000A0ZZUL3
4547;Облигация биржевая;RU000A0JWTK8
4548;Облигация биржевая;RU000A0JX0P9
4549;Облигация биржевая;RU000A0JXTF6
4550;Облигация биржевая;RU000A0ZYAE3
4551;Облигация биржевая;RU000A0ZYHK5
6176;Облигация биржевая;RU000A0JXP45
6177;Облигация биржевая;RU000A0ZYEE5
6178;Облигация биржевая;RU000A0ZYRX7
6179;Облигация биржевая;RU000A0ZYRY5
6181;Облигация биржевая;RU000A0JW9R7
6183;Облигация биржевая;RU000A0JXHQ8
6184;Облигация биржевая;RU000A0ZYB73
6185;Облигация биржевая;RU000A0ZYM05
11437;Облигация биржевая;RU000A0ZZRB0
4986;Облигация биржевая;RU000A0JVF56
6157;Облигация муниципальная;RU000A0JUWU5
9064;Облигация муниципальная;RU000A0JVVR1
7059;Облигация муниципальная;RU000A0JV2H4
9653;Облигация муниципальная;RU000A0JWZ10
10622;Облигация субфедеральная;RU000A0ZYF61
8607;Облигация муниципальная;RU000A0JV3M2
3199;Облигация корпоративная;RU000A0JR4U9
4619;Облигация корпоративная;RU000A0JTFB2
4572;Облигация корпоративная;RU000A0JTB96
6163;Облигация биржевая;RU000A0JWK66
10733;Облигация биржевая;RU000A0ZYLU6
10822;Облигация биржевая;RU000A0ZYQU5
5121;Облигация биржевая;RU000A0JX2R1
5120;Облигация биржевая;RU000A0ZYF20
5122;Облигация биржевая;RU000A0ZYF38
5123;Облигация биржевая;RU000A0ZYFM5
5124;Облигация биржевая;RU000A0ZYAR5
5125;Облигация биржевая;RU000A0ZYFN3
5778;Облигация корпоративная;RU000A0JUJG1
6135;Облигация корпоративная;RU000A0JUW23
9323;Облигация корпоративная;RU000A0JWBN0
10543;Облигация биржевая;RU000A0ZYBG6
4182;Облигация биржевая;RU000A0JVTA1
4183;Облигация биржевая;RU000A0JVUY9
8618;Облигация биржевая;RU000A0JWUB5
8626;Облигация биржевая;RU000A0JWGS8
8631;Облигация биржевая;RU000A0JVNB2
8632;Облигация биржевая;RU000A0JWNB0
5733;Пай закрытого ПИФа;RU000A0JUDS9
9922;Облигация биржевая;RU000A0JXPU3
6023;Облигация биржевая;RU000A0JUYJ4
10939;Облигация биржевая;RU000A0ZZ8U0
5010;Облигация биржевая;RU000A0JU0S6
5011;Облигация биржевая;RU000A0JU0T4
3531;Облигация корпоративная;RU000A0JRJV6
3538;Облигация корпоративная;RU000A0JRK22
9798;Облигация биржевая;RU000A0JXC40
9973;Облигация биржевая;RU000A0JXRB9
9195;Облигация корпоративная;RU000A0JW0S4
9291;Облигация корпоративная;RU000A0JW5E3
9331;Облигация корпоративная;RU000A0JWBP5
9441;Облигация корпоративная;RU000A0JWMJ5
9912;Облигация биржевая;RU000A0JXNV6
10562;Облигация биржевая;RU000A0ZYCQ3
11472;Облигация биржевая;RU000A0ZZUK5
10400;Облигация биржевая;
4114;Облигация корпоративная;RU000A0JS5R1
4170;Облигация корпоративная;RU000A0JS603
10689;Облигация биржевая;RU000A0ZYHH1
2806;Пай закрытого ПИФа;RU000A0JQSM8
9935;Облигация биржевая;RU000A0JXQ28
10731;Облигация биржевая;RU000A0ZYLF7
10886;Облигация биржевая;RU000A0ZYX69
11438;Облигация биржевая;RU000A0ZZRK1
11463;Облигация биржевая;RU000A0ZZTL5
